x,n12,s12,n16,s16,n20,s20
0.1,10000,10000,10000,10000,10000,10000
0.2,10000,10000,10000,10000,10000,10000
0.3,10000,10000,10000,10000,10000,10000
0.4,10000,10000,10000,10000,10000,10000
0.5,10000,9998,10000,10000,10000,10000
0.6,10000,9986,10000,9998,10000,10000
0.7,10000,9952,10000,9985,10000,9997
0.8,10000,9755,10000,9882,10000,9946
0.9,10000,9283,10000,9409,10000,9514
0.91,10000,9199,10000,9348,10000,9432
0.92,10000,9098,10000,9183,10000,9359
0.93,10000,9015,10000,9121,10000,9198
0.94,10000,8933,10000,8996,10000,9039
0.95,10000,8856,10000,8881,10000,8922
0.96,10000,8694,10000,8715,10000,8783
0.97,10000,8563,10000,8506,10000,8590
0.98,10000,8442,10000,8310,10000,8240
0.99,10000,8331,10000,8122,10000,8078
1.0,10000,8155,10000,8027,10000,7826
1.01,10000,8022,10000,7803,10000,7490
1.02,10000,7799,10000,7602,10000,7227
1.03,10000,7726,10000,7280,10000,6896
1.04,10000,7492,10000,7106,10000,6591
1.05,10000,7396,10000,6807,10000,6241
1.06,10000,7120,10000,6545,10000,5827
1.07,10000,6967,10000,6189,10000,5513
1.08,10000,6910,10000,5953,10000,5122
1.09,10000,6562,10000,5765,10000,4876
1.1,10000,6458,10000,5478,10000,4425
1.2,10000,4370,10000,2976,10000,2012
1.3,10000,2802,10000,1751,10000,1373
1.4,10000,1928,10000,1338,10000,1291
1.5,10000,1416,10000,1301,10000,1239
1.6,10000,1255,10000,1241,10000,1253
1.7,10000,1168,10000,1244,10000,1215
1.8,10000,1131,10000,1171,10000,1232
1.9,10000,941,10000,986,10000,1055
2.0,10000,595,10000,542,10000,466
