x,n12,s12,n16,s16,n20,s20
0.1,10000,10000,10000,10000,10000,10000
0.2,10000,10000,10000,10000,10000,10000
0.3,10000,10000,10000,10000,10000,10000
0.4,10000,9999,10000,10000,10000,10000
0.5,10000,9992,10000,9998,10000,10000
0.6,10000,9958,10000,9994,10000,9993
0.7,10000,9837,10000,9929,10000,9970
0.8,10000,9557,10000,9714,10000,9790
0.9,10000,8866,10000,9033,10000,9113
0.91,10000,8818,10000,8870,10000,8935
0.92,10000,8726,10000,8765,10000,8826
0.93,10000,8641,10000,8644,10000,8628
0.94,10000,8545,10000,8538,10000,8433
0.95,10000,8364,10000,8334,10000,8210
0.96,10000,8340,10000,8180,10000,8041
0.97,10000,8141,10000,7929,10000,7746
0.98,10000,7987,10000,7805,10000,7557
0.99,10000,7909,10000,7613,10000,7299
1.0,20000,15418,20000,14743,20000,14117
1.01,10000,7527,10000,7266,10000,6846
1.02,10000,7451,10000,6953,10000,6586
1.03,10000,7274,10000,6810,10000,6270
1.04,10000,7239,10000,6515,10000,5966
1.05,10000,7002,10000,6307,10000,5646
1.06,10000,6853,10000,6166,10000,5275
1.07,10000,6670,10000,5867,10000,5004
1.08,10000,6483,10000,5571,10000,4684
1.09,10000,6278,10000,5420,10000,4505
1.1,10000,6157,10000,5180,10000,4199
1.2,10000,4427,10000,3061,10000,2170
1.3,10000,3113,10000,1965,10000,1397
1.4,10000,2159,10000,1419,10000,1292
