x,n12,s12,n16,s16,n20,s20
0.1,10000,10000,10000,10000,10000,10000
0.2,10000,10000,10000,10000,10000,10000
0.3,10000,10000,10000,10000,10000,10000
0.4,10000,9999,10000,10000,10000,10000
0.5,10000,9999,10000,10000,10000,10000
0.6,10000,9990,10000,9999,10000,9999
0.7,10000,9949,10000,9984,10000,9998
0.8,10000,9775,10000,9889,10000,9940
0.9,10000,9276,10000,9463,10000,9586
1.0,10000,8276,10000,8234,10000,8071
1.1,10000,6681,10000,5824,10000,5015
1.2,10000,4782,10000,3476,10000,2474
1.3,10000,3187,10000,2056,10000,1390
